category,link
US tech,http://feeds.bbci.co.uk/news/technology/rss.xml
US tech,http://www.theinquirer.net/feeds/rss
US tech,http://techreport.com/news.rss
US tech,http://www.techspot.com/backend.xml
US tech,http://www.techtarget.com/html/pr/tt_pr.xml
US tech,http://feeds.feedburner.com/geekologie/iShm
US tech,http://www.dailytech.com/rss.aspx
US tech,http://www.digitaltrends.com/feed/
US tech,http://feeds2.feedburner.com/bit-tech/all
US tech,http://www.wsj.com/xml/rss/3_7455.xml
US tech,http://feeds.arstechnica.com/arstechnica/technology-lab
US tech,http://feeds.arstechnica.com/arstechnica/gadgets
US tech,http://feeds.arstechnica.com/arstechnica/business
US tech,http://www.informationweek.com/rss_simple.asp
US tech,http://feeds.newscientist.com/tech
US tech,http://feeds.nature.com/news/rss/news_s16
US tech,http://www.technologyreview.com/stream/rss/
US tech,http://hosted2.ap.org/atom/APDEFAULT/495d344a0d10421e9baa8ee77029cfbd
US tech,http://feeds.sciencedaily.com/sciencedaily/top_news/top_health
US tech,http://feeds.washingtonpost.com/rss/business/technology
US tech,http://www.techinsider.io/rss
US tech,http://feeds.feedburner.com/IeeeSpectrumRoboticsChannel
US tech,http://www.theverge.com/tech/rss/index.xml
US tech,http://recode.net/feed/
CA general,http://rss.canada.com/get/?F7497
CA general,http://news.gc.ca/web/fd-en.do?mthd=ntnl&ft=atom
CA general,http://news.gc.ca/web/fd-en.do?mthd=rgnl&ft=atom
CA general,http://www.journaldemontreal.com/rss.xml
CA general,http://rss.radio-canada.ca/fils/nouvelles/national.xml
CA general,http://www.calgarysun.com/home/rss.xml
CA general,http://leaderpost.com/feed/
CA general,http://thestarphoenix.com/feed/
CA general,http://windsorstar.com/feed/
CA general,http://www.cbc.ca/cmlink/rss-canada
CA general,http://www.ctvnews.ca/rss/ctvnews-ca-canada-public-rss-1.822284
CA general,http://rss.canada.com/get/?F75
CA general,http://globalnews.ca/canada/feed/
CA general,http://www.thestar.com/feeds.articles.news.canada.rss
CA general,http://www.theglobeandmail.com/news/national/?service=rss
CA general,http://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
CA general,http://rss.canada.com/get/?F270
CA general,http://www.macleans.ca/feed/
CA general,http://rss.canada.com/get/?F7364
CA general,http://rss.canada.com/get/?F264
CA general,http://www.nhl.com/rss/news.xml
CA general,http://feeds.reuters.com/Reuters/worldNews
CA general,http://www.660news.com/featured/spotlight/feed/
CA general,http://www.brandonsun.com/rss/?path=%2Fnational%2Fbreaking-news
CA general,http://thewalrus.ca/feed/
CA general,http://www.torontosun.com/home/rss.xml
CA general,http://rss.canada.com/get/?F243
CA general,http://rss.canada.com/get/?F259
CA general,http://rss.canada.com/get/?F291
CA general,http://feeds.feedblitz.com/thetyee
CA sports,http://rss.canada.com/get/?F255
CA sports,http://www.journaldemontreal.com/sports/rss.xml
CA sports,http://rss.radio-canada.ca/fils/sports/sports.xml
CA sports,http://www.calgarysun.com/sports/rss.xml
CA sports,http://www.huffingtonpost.ca/feeds/verticals/canada-sports/index.xml
CA sports,http://rss.canoe.com/Slam/home.xml
CA sports,http://torontosportsmedia.com/feed
CA sports,http://en.cis-sic.ca/landing/headlines-featured?feed=rss_2.0
CA sports,http://www.cbc.ca/cmlink/rss-sports
CA sports,http://www.tsn.ca/datafiles/rss/Stories.xml
CA sports,http://www.sportsnet.ca/feed/
CA sports,https://ca.sports.yahoo.com/top/rss.xml
CA sports,http://www.thestar.com/feeds.articles.sports.rss
CA sports,http://www.theglobeandmail.com/sports/?service=rss
CA sports,http://rss.canada.com/get/?F260
CA sports,http://globalnews.ca/sports/feed/
CA sports,http://www.torontosun.com/sports/rss.xml
CA sports,http://www.winnipegfreepress.com/rss/?path=%2Fsports
CA tech,http://rss.canada.com/get/?F7539
CA tech,http://rss.radio-canada.ca/fils/nouvelles/technologie.xml
CA tech,http://www.calgarysun.com/tech/rss.xml
CA tech,http://www.pcauthority.com.au/RSS/rss.ashx?type=Category&ID=12
CA tech,http://www.techvibes.com/feed/blog/xml/global/
CA tech,http://betakit.com/feed/
CA tech,http://www.cbc.ca/cmlink/rss-technology
CA tech,http://rss.canada.com/get/?F7166
CA tech,http://rss.canada.com/get/?F221
CA tech,http://rss.canada.com/get/?F7484
CA tech,http://mobilesyrup.com/feed/
CA tech,http://globalnews.ca/tech/feed/
CA tech,http://www.thestar.com/feeds.articles.life.technology.rss
CA tech,http://www.theepochtimes.com/n3/c/tech/tech-news/feed/
CA tech,http://www.huffingtonpost.com/feeds/verticals/technology/news.xml
CA tech,http://feeds.reuters.com/reuters/technologyNews?format=xml
IN general,http://www.telegraphindia.com/feeds/rss.jsp?id=3
IN general,http://www.caravanmagazine.in/feed
IN general,http://thewire.in/feed/
IN general,http://www.oneindia.com/rss/news-india-fb.xml
IN general,http://sify.com/rss2/news/article/category/national
IN general,http://www.tehelka.com/?feed=custom_feed
IN general,http://www.outlookindia.com/rss/main/website
IN general,http://www.outlookindia.com/rss/main/newswire
IN general,http://www.outlookindia.com/rss/section/19
IN general,http://feeds.hindustantimes.com/HT-India
IN general,http://indianexpress.com/section/india/feed/
IN general,http://timesofindia.feedsportal.com/c/33039/f/533916/index.rss
IN general,http://feeds.bbci.co.uk/news/world/asia/india/rss.xml
IN general,http://ibnlive.in.com/ibnrss/top.xml
IN general,http://timesofindia.feedsportal.com/c/33039/f/533965/index.rss
IN general,http://indiatoday.feedsportal.com/c/33614/f/589699/index.rss
IN general,http://www.thehindubusinessline.com/news/?service=rss
IN general,http://www.thehindubusinessline.com/news/international/?service=rss
IN general,http://www.thehindu.com/news/national/?service=rss
IN general,http://zeenews.india.com/rss/world-news.xml
IN general,http://www.business-standard.com/rss/current-affairs-news-11501.rss
IN general,http://nvonews.com/feed/
IN general,http://economictimes.indiatimes.com/News/rssfeeds/1715249553.cms
IN general,http://www.sikhsiyasat.com/feed/
IN general,http://indiatoday.feedsportal.com/c/33614/f/589699/index.rss
IN general,http://www.asianage.com/rss/38
IN general,http://www.business-standard.com/rss/home_page_top_stories.rss
IN general,http://www.dnaindia.com/rss.xml
IN general,http://www.deccanchronicle.com/rss.xml
IN general,http://www.deccanherald.com/rss-internal/top-stories.rss
IN general,http://syndication.financialexpress.com/rss/latest-news.xml
IN general,http://www.mid-day.com/Resources/midday/rss/news-national.xml
IN general,http://www.livemint.com/rss/homepage
IN sports,http://www.telegraphindia.com/feeds/rss.jsp?id=7
IN sports,http://www.espncricinfo.com/rss/content/story/feeds/6.xml
IN sports,http://live-feeds.cricbuzz.com/CricbuzzFeed
IN sports,http://www.oneindia.com/rss/news-sports-fb.xml
IN sports,http://www.outlookindia.com/rss/section/22
IN sports,http://sify.com/rss2/sports/article/category/cricket
IN sports,http://sify.com/rss2/sports/article/category/football
IN sports,http://sify.com/rss2/sports/article/category/others
IN sports,http://timesofindia.feedsportal.com/c/33039/f/533921/index.rss
IN sports,http://feeds.feedburner.com/NDTV-Sports
IN sports,http://feeds.feedburner.com/NDTV-Cricket
IN sports,http://syndication.indianexpress.com/rss/785/latest-news.xml
IN sports,https://in.news.yahoo.com/rss/sports
IN sports,http://indiatoday.feedsportal.com/c/33614/f/589706/index.rss?http://
indiatoda,y.intoday.in/rss/article.jsp?sid=84
IN sports,http://zeenews.india.com/rss/sports-news.xml
IN sports,http://feeds.reuters.com/reuters/worldOfSport
IN sports,http://feeds.hindustantimes.com/HT-Sport
IN sports,http://www.thehindu.com/sport/?service=rss
IN sports,http://www.abplive.in/sports/?widgetName=rssfeed&widgetContentId=101313&getXmlFeed=true
IN tech,http://www.pcquest.com/rss-2-2/?cat_slug=news-launches
IN tech,http://www.pcquest.com/rss-2-2/?cat_slug=tech-&-trends
IN tech,http://sify.com/rss2/business/article/category/technology
